# species: Homo sapiens
# support: EXP, IMP, ISS, ISM, TAS, IEA, HMP, HEP, IDA, IGI, ISO, IGC, NAS, HGI, IPI, IEP, ISA, RCA, IC, HDA
# associations retrieved on: 2021-03-22 22:09:17-04
# gofunc built on: 2018-02-21 10:04:34.764444-05
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/goa_human.gaf.gz
#   revision: 2018-02-02 $
#   downloaded on: 2018-02-14 09:47:26-05
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201512-termdb-tables.tar.gz
#   downloaded on: 2015-12-22 05:43:21-05
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2015-11-17 14:24:21.26681-05
#     synergizer db built from: Ensembl Genes 82 / Metazoa Mart / Plant Mart
#   namespace: hgnc_symbol
#   coverage: 99.8%
# size of "genespace": 2326
# number of attributes: 10840
# NOTE: these associations have been restricted to the genes included
# in the user-supplied gene space.
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
GO:0000002	mitochondrial genome maintenance	LONP1 OPA1 SLC25A4
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	BCAS2 BUD31 CCAR1 CD2BP2 CDC5L CHERP CPSF1 CPSF2 CPSF3 CPSF7 CSTF1 CSTF2 CSTF2T CSTF3 CTNNBL1 CWC15 CWC27 DCPS DDX17 DDX23 DDX41 DDX42 DDX46 DDX5 DHX15 DHX38 DHX9 DNAJC8 EFTUD2 EIF4A3 ELAVL1 FIP1L1 FUS GEMIN5 GPKOW GTF2F2 HNRNPA0 HNRNPA2B1 HNRNPA3 HNRNPC HNRNPD HNRNPF HNRNPH1 HNRNPH2 HNRNPH3 HNRNPK HNRNPL HNRNPM HNRNPR HNRNPU HNRNPUL1 HSPA8 LSM2 LSM3 LSM4 LSM5 LSM6 LSM7 NCBP1 NCBP2 NUDT21 PABPN1 PCBP1 PHF5A PLRG1 PNN POLR2A POLR2B POLR2C POLR2D POLR2E POLR2I PPIE PPIH PPIL1 PPIL3 PQBP1 PRCC PRPF19 PRPF3 PRPF31 PRPF38A PRPF4 PRPF40A PRPF4B PRPF6 PRPF8 PTBP1 PUF60 RALY RBM17 RBM22 RBM8A RNPS1 SART1 SART3 SF1 SF3A1 SF3A2 SF3A3 SF3B1 SF3B2 SF3B3 SF3B4 SF3B5 SFPQ SNRNP200 SNRNP40 SNRNP70 SNRPA SNRPA1 SNRPB2 SNRPC SNRPD1 SNRPD2 SNRPD3 SNRPE SNRPF SNRPG SNW1 SRRM1 SRRM2 SRRT SRSF1 SRSF3 SRSF4 SRSF5 SRSF6 SRSF7 SRSF9 SYF2 SYMPK SYNCRIP TFIP11 TRA2A TRA2B U2AF2 U2SURP UPF3B WBP11 WDR33 XAB2 YBX1
GO:0000380	alternative mRNA splicing, via spliceosome	DDX17 DDX5 DHX9 HNRNPM PQBP1 RBM17 SFPQ SRSF1 SRSF6
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	DDX17 DDX5 FMR1 HNRNPL HNRNPU PTBP1 RBM10 RBM25 RBM8A RNPS1 SAP18 SMU1 SRSF6 THRAP3 TRA2B
GO:0000387	spliceosomal snRNP assembly	CD2BP2 CLNS1A DDX20 GEMIN5 PRMT5 PRPF19 PRPF3 PRPF31 PRPF6 PRPF8 SART1 SART3 SNRPC SNRPD1 SNRPD2 SNRPD3 SNRPE SNRPF SNRPG STRAP
GO:0000389	mRNA 3'-splice site recognition	SF1 SF3A1 SF3A2 SF3A3
GO:0000390	spliceosomal complex disassembly	TFIP11
GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation	CPSF1 CSTF2 DDX1 FAM98B
GO:0000395	mRNA 5'-splice site recognition	PSIP1 SRSF1
GO:0000398	mRNA splicing, via spliceosome	BCAS2 BUD31 CCAR1 CD2BP2 CDC5L CHERP CPSF1 CPSF2 CPSF3 CPSF7 CSTF1 CSTF2 CSTF2T CSTF3 CTNNBL1 CWC15 CWC27 DCPS DDX17 DDX23 DDX41 DDX42 DDX46 DDX5 DHX15 DHX38 DHX9 DNAJC8 EFTUD2 EIF4A3 ELAVL1 FIP1L1 FUS GEMIN5 GPKOW GTF2F2 HNRNPA0 HNRNPA2B1 HNRNPA3 HNRNPC HNRNPD HNRNPF HNRNPH1 HNRNPH2 HNRNPH3 HNRNPK HNRNPL HNRNPM HNRNPR HNRNPU HNRNPUL1 HSPA8 LSM2 LSM3 LSM4 LSM5 LSM6 LSM7 NCBP1 NCBP2 NUDT21 PABPN1 PCBP1 PHF5A PLRG1 PNN POLR2A POLR2B POLR2C POLR2D POLR2E POLR2I PPIE PPIH PPIL1 PPIL3 PQBP1 PRCC PRPF19 PRPF3 PRPF31 PRPF38A PRPF4 PRPF40A PRPF4B PRPF6 PRPF8 PTBP1 PUF60 RALY RBM17 RBM22 RBM8A RNPS1 SART1 SART3 SF1 SF3A1 SF3A2 SF3A3 SF3B1 SF3B2 SF3B3 SF3B4 SF3B5 SFPQ SNRNP200 SNRNP40 SNRNP70 SNRPA SNRPA1 SNRPB2 SNRPC SNRPD1 SNRPD2 SNRPD3 SNRPE SNRPF SNRPG SNW1 SRRM1 SRRM2 SRRT SRSF1 SRSF3 SRSF4 SRSF5 SRSF6 SRSF7 SRSF9 SYF2 SYMPK SYNCRIP TFIP11 TRA2A TRA2B U2AF2 U2SURP UPF3B WBP11 WDR33 XAB2 YBX1
GO:0000400	four-way junction DNA binding	HMGB2 HMGB3
GO:0000407	pre-autophagosomal structure	SQSTM1 STX12
GO:0000408	EKC/KEOPS complex	LAGE3
GO:0000413	protein peptidyl-prolyl isomerization	CWC27 FKBP11 FKBP3 FKBP4 FKBP5 FKBP8 PIN1 PIN4 PPIA PPIB PPID PPIE PPIF PPIG PPIH PPIL1 PPIL3 RANBP2
GO:0000414	regulation of histone H3-K36 methylation	IWS1
GO:0000421	autophagosome membrane	RAB7A RPN2 SH3GLB1 SNAP29 STX17
GO:0000422	mitophagy	CDC37 CISD2 OPTN SQSTM1
GO:0000423	macromitophagy	CDC37 OPTN SQSTM1
GO:0000428	DNA-directed RNA polymerase complex	MCM3 MYO6 POLR1C POLR2A POLR2B POLR2C POLR2D POLR2E POLR2I RPRD1A RPRD1B RPRD2
GO:0000444	MIS12/MIND type complex	NSL1
GO:0000445	THO complex part of transcription export complex	THOC2 THOC3 THOC5 THOC7
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	NOP14
GO:0000454	snoRNA guided rRNA pseudouridine synthesis	NOP10
GO:0000460	maturation of 5.8S rRNA	EXOSC10 EXOSC4 NOL9 PES1
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	BYSL NOP14 RPS19
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GTPBP4 PES1
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	PES1
GO:0000469	cleavage involved in rRNA processing	NOP14
GO:0000470	maturation of LSU-rRNA	GTPBP4 PES1
GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	NOP14
GO:0000478	endonucleolytic cleavage involved in rRNA processing	NOP14
GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	NOP14
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	NOP14
GO:0000502	proteasome complex	ADRM1 GET4 IDE OS9 PAAF1 PSMA1 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 RAD23A RAD23B SEL1L TXNL1 UBL4A UCHL5 USP14 VCP WFS1
GO:0000700	mismatch base pair DNA N-glycosylase activity	PCNA
GO:0000701	purine-specific mismatch base pair DNA N-glycosylase activity	PCNA
GO:0000710	meiotic mismatch repair	MSH6
GO:0000715	nucleotide-excision repair, DNA damage recognition	COPS2 COPS3 COPS4 COPS5 COPS6 COPS7A COPS7B COPS8 DDB1 GPS1 PARP1 RAD23B RBX1 RPS27A
GO:0000717	nucleotide-excision repair, DNA duplex unwinding	DDB1 PARP1 RAD23B RBX1 RPS27A XPA
GO:0000718	nucleotide-excision repair, DNA damage removal	PNKP
GO:0000723	telomere maintenance	APEX1 DKC1 FEN1 GAR1 HSP90AA1 HSP90AB1 NHP2 NOP10 PARP1 PCNA POLD1 POLD2 POLE3 PRKDC PTGES3 RFC2 RFC3 RFC4 RPA1 RPA2 RPA3 TERF2IP TFIP11 UPF1 XRCC5 XRCC6
GO:0000724	double-strand break repair via homologous recombination	FEN1 LIG3 NUCKS1 PARP1 PSMD14 RPA1 RPA2 RPA3 SFPQ XRCC1
GO:0000725	recombinational repair	FEN1 LIG3 NUCKS1 PARP1 PSMD14 RPA1 RPA2 RPA3 SFPQ XRCC1
GO:0000726	non-recombinational repair	BABAM1 MDC1 PRKDC PRPF19 PSMD14 SUMO1 UBE2V2 XRCC1 XRCC5 XRCC6
GO:0000729	DNA double-strand break processing	UBE2V2
GO:0000731	DNA synthesis involved in DNA repair	POLD1 RFC3
GO:0000733	DNA strand renaturation	RECQL
GO:0000737	DNA catabolic process, endonucleolytic	CASP3 DFFA HMGB2 KPNA1 KPNB1
GO:0000738	DNA catabolic process, exonucleolytic	ISG20 XRN2
GO:0000741	karyogamy	CDK1
GO:0000768	syncytium formation by plasma membrane fusion	CAPN2 MYH9
GO:0000774	adenyl-nucleotide exchange factor activity	BAG2 HSPH1 PFN1
GO:0000775	chromosome, centromeric region	CBX1 CBX3 CTCF FMR1 INCENP NCAPG PDS5A PDS5B PPP2R1A RAD21 SMC1A SMC3
GO:0000776	kinetochore	BUB3 CBX5 CHAMP1 CKAP5 CLASP1 DCTN2 DCTN3 DCTN5 DCTN6 DYNC1LI1 DYNLL1 HNRNPU HSF1 INCENP LRWD1 NSL1 NUDCD2 NUP107 NUP43 NUP85 PAFAH1B1 PHF6 PPP1R12A RANGAP1 SIN3A SMC1A SPC24 SPC25 SUGT1 TPR XPO1 ZNF207 ZW10
GO:0000777	condensed chromosome kinetochore	BUB3 CHAMP1 CKAP5 CLASP1 DCTN3 DCTN5 DCTN6 DYNC1LI1 HNRNPU HSF1 INCENP LRWD1 NSL1 NUDCD2 NUP107 NUP43 NUP85 PHF6 RANGAP1 SMC1A SPC24 SPC25 ZNF207 ZW10
GO:0000779	condensed chromosome, centromeric region	CBX3 NCAPG
GO:0000781	chromosome, telomeric region	APEX1 CBX1 CBX3 CBX5 CDC73 CDK1 DDB1 DHX36 FEN1 GAR1 HAT1 HNRNPA2B1 MCM2 MCM3 MCM4 MCM5 MCM6 MCM7 MSH2 NAT10 NHP2 PARP1 PCNA PML PRKDC PTGES3 PURA RPA1 RPA2 SSB TERF2IP TFIP11 UPF1 XRCC1 XRCC5 XRCC6
GO:0000782	telomere cap complex	TERF2IP XRCC5 XRCC6
GO:0000783	nuclear telomere cap complex	TERF2IP XRCC5 XRCC6
GO:0000784	nuclear chromosome, telomeric region	APEX1 CBX1 CBX3 CBX5 CDC73 CDK1 DDB1 FEN1 GAR1 HAT1 MCM2 MCM3 MCM4 MCM5 MCM6 MCM7 MSH2 NAT10 NHP2 PARP1 PCNA PML PRKDC PURA RPA1 RPA2 SSB TERF2IP TFIP11 UPF1 XRCC1 XRCC5 XRCC6
GO:0000785	chromatin	ACTB ACTL6A AKAP8L ARID1A BAZ1B CAPN2 CBX1 CBX3 CBX5 CHAF1A CHAF1B CSNK2B DDX6 DFFA DNMT1 DPF2 EXOSC10 EXOSC3 EXOSC4 GABPA GATAD2B HAT1 HMGA1 HMGB2 HNRNPC HNRNPK HSF1 HTRA2 IKZF1 INCENP LRWD1 MBD2 MCM2 MCM7 MSH6 NASP NUCKS1 PARK7 PAWR PDS5A PDS5B PELP1 PML POGZ PPP1R10 PSIP1 RAD21 RBBP4 RCC1 RELA RING1 RPA2 RRP1B RRP8 RUNX2 RUVBL2 SFPQ SMARCA2 SMARCA4 SMARCB1 SMARCC1 SMARCC2 SMARCE1 SMC3 SP1 STAT1 STAT3 SUMO1 SUZ12 TCP1 TMPO TRIM28 TTC37 UHRF1 UPF1 WDR61 XRCC1
GO:0000786	nucleosome	GLYR1 HP1BP3 IRF4
GO:0000788	nuclear nucleosome	IRF4
GO:0000790	nuclear chromatin	ACTB ACTL6A ARID1A CBX1 CBX3 CBX5 CHAF1A CHAF1B DFFA DPF2 GABPA GATAD2B HAT1 HMGB2 HNRNPC HNRNPK IKZF1 MBD2 MSH6 NASP NUCKS1 PAWR POGZ RBBP4 RCC1 RELA RING1 RUNX2 RUVBL2 SMARCA2 SMARCA4 SMARCB1 SMARCC1 SMARCC2 SMARCE1 SP1 STAT1 STAT3 SUZ12 TCP1 TRIM28 UHRF1 XRCC1
GO:0000791	euchromatin	CBX3 HSF1 RRP1B RUVBL2 TRIM28 UHRF1
GO:0000792	heterochromatin	BAZ1B CBX1 CBX3 CBX5 DDX6 DNMT1 HMGA1 HSF1 IKZF1 INCENP LRWD1 MBD2 PML RING1 RRP1B RRP8 SUMO1 SUZ12 TCP1 TRIM28 UHRF1
GO:0000793	condensed chromosome	AKAP8 BAZ1B CHAMP1 CHMP1A CTCF HMGB2 LRPPRC NCAPD2 PES1 RCC1 RRS1 SMARCA5 SMC1A SMC2 TOP2A
GO:0000794	condensed nuclear chromosome	CHMP1A LRPPRC RCC1 RRS1 SMC1A
GO:0000795	synaptonemal complex	UBE2I
GO:0000796	condensin complex	NCAPD2 NCAPG NCAPH SMC2 SMC4
GO:0000797	condensin core heterodimer	NCAPD2
GO:0000798	nuclear cohesin complex	SMC3
GO:0000800	lateral element	INCENP SMC3
GO:0000801	central element	INCENP
GO:0000803	sex chromosome	HNRNPU SMARCC1 SMCHD1 SUMO1
GO:0000805	X chromosome	SMCHD1
GO:0000808	origin recognition complex	LRWD1 MCM2 REPIN1
GO:0000812	Swr1 complex	ANP32E RUVBL1 RUVBL2
GO:0000813	ESCRT I complex	TSG101 VPS28 VPS37B
GO:0000815	ESCRT III complex	CHMP1A CHMP2A CHMP4B CHMP7
GO:0000819	sister chromatid segregation	BUB3 KIFC1 RAN SMC1A SMC4 ZNF207 ZW10
GO:0000835	ER ubiquitin ligase complex	OS9 SEL1L
GO:0000836	Hrd1p ubiquitin ligase complex	OS9 SEL1L
GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex	SEL1L
GO:0000900	translation repressor activity, nucleic acid binding	DHFR PURA SHMT1
GO:0000902	cell morphogenesis	ARHGEF2 BASP1 CLIC4 CUL3 DDX17 DDX5 FERMT3 FLNA HNRNPAB ILK ITGB1 ITGB7 MAPK14 NOLC1 PDCD4 PDCD6 PELO RAB1A RTN4 SART3 SCFD1 SS18 ST14 STK4 TCOF1 TRIM28 YTHDF2
GO:0000904	cell morphogenesis involved in differentiation	BASP1 CLIC4 CUL3 DDX17 DDX5 FERMT3 FLNA HNRNPAB ILK ITGB1 ITGB7 NOLC1 PDCD4 PDCD6 PELO RAB1A RTN4 ST14 TCOF1 TRIM28 YTHDF2
GO:0000910	cytokinesis	ACTR2 ACTR3 ARL3 CFL1 CHMP4B DCTN3 INCENP IST1 KIF23 MYH10 PDCD6IP RASA1 RHOB SON STAMBP STMN1 VPS4A
GO:0000912	assembly of actomyosin apparatus involved in cytokinesis	KIF23 PDCD6IP
GO:0000915	actomyosin contractile ring assembly	KIF23 PDCD6IP
GO:0000916	actomyosin contractile ring contraction	VPS4A
GO:0000920	cell separation after cytokinesis	CHMP1A CHMP2A CHMP4B CHMP5 CHMP7 PDCD6IP VPS4A VPS4B
GO:0000922	spindle pole	BCCIP CKAP5 DYNC1LI1 GOLGA2 HNRNPU HSF1 MAPK14 NEK7 NUDCD2 NUMA1 NUP62 RAE1 RANGAP1 SBDS SMC1A SMC3 VPS4A VPS4B ZW10
GO:0000930	gamma-tubulin complex	BLOC1S2
GO:0000932	cytoplasmic mRNA processing body	CAPRIN1 CARHSP1 CNOT1 CNOT3 CNOT7 DDX6 EDC4 EIF4E HAX1 LIMD1 LSM14A PATL1 PSMA4 PSMA6 PSMC2 PSMC3 PUM1 SQSTM1 TOP1 UPF1 YTHDF2
GO:0000956	nuclear-transcribed mRNA catabolic process	CNOT1 CNOT3 CNOT7 CSDE1 DCPS DDX5 DDX6 EDC4 EIF3E EIF4A1 EIF4A2 EIF4A3 EIF4B EIF4E EIF4G1 ETF1 EXOSC10 EXOSC2 EXOSC3 EXOSC4 EXOSC6 EXOSC8 GSPT1 HBS1L LSM1 LSM2 LSM3 LSM4 LSM5 LSM6 LSM7 NCBP1 NCBP2 PARN PATL1 PDE12 PELO PPP2R1A PPP2R2A RBM8A RNPS1 RPL10A RPL11 RPL12 RPL13 RPL13A RPL14 RPL15 RPL17 RPL18 RPL18A RPL19 RPL21 RPL22 RPL23 RPL23A RPL24 RPL26 RPL27 RPL27A RPL28 RPL29 RPL3 RPL30 RPL31 RPL32 RPL34 RPL35 RPL35A RPL36 RPL37 RPL37A RPL38 RPL4 RPL5 RPL6 RPL7 RPL7A RPL8 RPL9 RPLP0 RPLP1 RPLP2 RPS11 RPS12 RPS13 RPS14 RPS15 RPS15A RPS16 RPS18 RPS19 RPS2 RPS20 RPS21 RPS23 RPS24 RPS25 RPS27 RPS27A RPS28 RPS29 RPS3 RPS3A RPS4X RPS5 RPS6 RPS7 RPS8 RPS9 SSB THRAP3 TTC37 UPF1 UPF3B WDR61
GO:0000957	mitochondrial RNA catabolic process	PDE12 PNPT1 SUPV3L1
GO:0000958	mitochondrial mRNA catabolic process	PDE12 PNPT1 SUPV3L1
GO:0000959	mitochondrial RNA metabolic process	AARS2 DARS2 EARS2 ELAC2 HSD17B10 PDE12 PNPT1 POLRMT PUS1 SUPV3L1 TARS2 TFAM TFB2M
GO:0000960	regulation of mitochondrial RNA catabolic process	LRPPRC PNPT1 SLIRP SUPV3L1
GO:0000961	negative regulation of mitochondrial RNA catabolic process	LRPPRC SLIRP
GO:0000962	positive regulation of mitochondrial RNA catabolic process	PNPT1 SUPV3L1
GO:0000963	mitochondrial RNA processing	ELAC2 HSD17B10 PNPT1 PUS1 SUPV3L1
GO:0000964	mitochondrial RNA 5'-end processing	PNPT1
GO:0000965	mitochondrial RNA 3'-end processing	ELAC2 HSD17B10 PNPT1 SUPV3L1
GO:0000966	RNA 5'-end processing	NOP14 PNPT1
GO:0000967	rRNA 5'-end processing	NOP14
GO:0000974	Prp19 complex	CDC5L CTNNBL1 HSPA8 PRPF19
GO:0000975	regulatory region DNA binding	ACTN4 ARID3B BASP1 BRD7 CCAR1 CDC5L CEBPZ CGGBP1 CNBP CTCF DHX36 DHX9 DPF2 ENO1 ETV6 FOXO3 FUBP3 GABPA GTF2B HMGA1 HMGB2 HNRNPC HNRNPK HNRNPL HNRNPU HSF1 IFI16 IKZF3 IRF4 LONP1 LRRFIP1 MYBBP1A NFKB1 NFKB2 NFYA NKRF NME1 NONO NPM1 PARP1 PHB POU2AF1 POU2F1 PRDX5 PRMT5 PSPC1 PURA PURB RELA RUNX2 RUVBL2 SAFB SFPQ SIN3A SMARCA2 SMARCA4 SMARCB1 SP1 SP3 STAT1 STAT3 SUZ12 TBL1XR1 TFAM THRAP3 TOP1 UBTF UHRF1 XRCC5 XRCC6 XRN2 YBX1
GO:0000976	transcription regulatory region sequence-specific DNA binding	ACTN4 ARID3B CDC5L CEBPZ CGGBP1 CNBP CTCF DPF2 ENO1 ETV6 FUBP3 GABPA GTF2B HMGA1 HMGB2 HNRNPC HNRNPK HSF1 IFI16 IKZF3 IRF4 LRRFIP1 NFKB1 NFKB2 NFYA NKRF NME1 NONO PARP1 POU2AF1 POU2F1 PRMT5 PURB RELA RUNX2 RUVBL2 SFPQ SIN3A SMARCA4 SMARCB1 SP1 SP3 STAT1 STAT3 SUZ12 TFAM THRAP3 TOP1 UBTF UHRF1 XRN2 YBX1
GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	ACTN4 ARID3B CDC5L CEBPZ CGGBP1 CNBP CTCF DPF2 ENO1 ETV6 FUBP3 GABPA GTF2B HNRNPC HNRNPK HSF1 IFI16 IKZF3 IRF4 LRRFIP1 NFKB1 NFKB2 NKRF NME1 NONO PARP1 POU2AF1 POU2F1 PURB RELA RUNX2 RUVBL2 SFPQ SP1 SP3 STAT1 STAT3 SUZ12 TFAM YBX1
GO:0000978	RNA polymerase II core promoter proximal region sequence-specific DNA binding	ARID3B CEBPZ CTCF DPF2 ETV6 FUBP3 GABPA HNRNPC HNRNPK HSF1 IFI16 IRF4 LRRFIP1 NFKB2 NKRF RELA RUNX2 SP1 SP3 STAT1 STAT3 SUZ12 TFAM YBX1
GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding	GTF2B POU2AF1 POU2F1 RUVBL2 STAT1
GO:0000980	RNA polymerase II distal enhancer sequence-specific DNA binding	ARID3B HNRNPC NFKB1 NONO RELA RUVBL2 SFPQ
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	ARID3B CDC5L CEBPZ CGGBP1 CHCHD3 CNBP CTCF ENO1 ETV6 FOXO3 FUBP3 GABPA GMEB1 HCFC1 HMGA1 HNRNPK HSF1 IFI16 IKZF3 IRF4 LRRFIP1 NFKB1 NFKB2 NKRF NUCKS1 PARP1 PCBP1 PHB PHF6 POU2F1 PURA PURB RAD21 RELA RUNX2 SP1 SP3 STAT1 STAT3 SUB1 TFAM YBX1
GO:0000982	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	ARID3B CEBPZ CTCF ENO1 ETV6 FUBP3 GABPA GMEB1 HNRNPK HSF1 IFI16 IRF4 LRRFIP1 NFKB2 NKRF NUCKS1 RELA RUNX2 SP1 SP3 STAT3 TFAM YBX1
GO:0000983	transcription factor activity, RNA polymerase II core promoter sequence-specific	POU2F1 RELA STAT1
GO:0000987	core promoter proximal region sequence-specific DNA binding	ARID3B CEBPZ CTCF DPF2 ETV6 FUBP3 GABPA HNRNPC HNRNPK HSF1 IFI16 IRF4 LRRFIP1 NFKB2 NKRF RELA RUNX2 SP1 SP3 STAT1 STAT3 SUZ12 TFAM UBTF UHRF1 YBX1
GO:0000988	transcription factor activity, protein binding	ABT1 ACTL6A ACTN4 AIP APEX1 ARID1A BASP1 BRD7 BUD31 C1QBP CBFB CCAR1 CNOT7 COPS5 CTBP1 CTCF DDX1 DDX17 DDX54 DHX9 DNAJB1 DR1 DRAP1 EDF1 ENY2 FUS GABPA GMEB1 GTF2A1 HCFC1 HDAC7 HDGF HMGA1 HNRNPU HSBP1 LIMD1 LPXN MMS19 MTDH MYBBP1A NFKB2 NOC2L NPM1 NUP98 PARK7 PAWR PBXIP1 PDLIM1 PFDN5 POU2AF1 PQBP1 PRMT5 PRPF6 PSMD9 RALY RAN RBM14 RNF20 RRP1B SAP18 SF1 SMARCA2 SMARCA4 SMARCB1 SMARCC1 SMARCC2 SMARCE1 SND1 SNW1 SRA1 SS18 SUB1 TBL1XR1 TCERG1 TDP2 TFB2M THRAP3 TRIM28 TRIP13 TSG101 UBE2L3 YWHAB
GO:0000989	transcription factor activity, transcription factor binding	ABT1 ACTL6A ACTN4 AIP APEX1 ARID1A BASP1 BRD7 BUD31 C1QBP CBFB CCAR1 CNOT7 COPS5 CTBP1 CTCF DDX1 DDX17 DDX54 DHX9 DNAJB1 DR1 DRAP1 EDF1 ENY2 FUS GABPA GMEB1 GTF2A1 HCFC1 HDAC7 HDGF HMGA1 HNRNPU HSBP1 LIMD1 LPXN MMS19 MTDH MYBBP1A NFKB2 NOC2L NPM1 NUP98 PARK7 PAWR PBXIP1 PDLIM1 PFDN5 POU2AF1 PQBP1 PRMT5 PRPF6 PSMD9 RALY RAN RBM14 RNF20 RRP1B SAP18 SF1 SMARCA2 SMARCA4 SMARCB1 SMARCC1 SMARCC2 SMARCE1 SND1 SNW1 SRA1 SS18 SUB1 TBL1XR1 TCERG1 TDP2 TFB2M THRAP3 TRIM28 TRIP13 TSG101 UBE2L3 YWHAB
GO:0000993	RNA polymerase II core binding	CDC73 DHX9 HNRNPU PAF1 RPRD1B ZNF326
GO:0001012	RNA polymerase II regulatory region DNA binding	ACTN4 ARID3B CDC5L CEBPZ CGGBP1 CNBP CTCF DPF2 ENO1 ETV6 FUBP3 GABPA GTF2B HNRNPC HNRNPK HSF1 IFI16 IKZF3 IRF4 LRRFIP1 NFKB1 NFKB2 NKRF NME1 NONO PARP1 POU2AF1 POU2F1 PURB RELA RUNX2 RUVBL2 SFPQ SP1 SP3 STAT1 STAT3 SUZ12 TFAM YBX1
GO:0001013	RNA polymerase I regulatory region DNA binding	SMARCA4 SMARCB1 UBTF
GO:0001016	RNA polymerase III regulatory region DNA binding	PRDX5
GO:0001018	mitochondrial RNA polymerase regulatory region DNA binding	LONP1 TFAM
GO:0001042	RNA polymerase I core binding	NOLC1 TCOF1
GO:0001046	core promoter sequence-specific DNA binding	GTF2B NFYA POU2AF1 POU2F1 PRMT5 RUVBL2 SMARCA4 SMARCB1 SP1 STAT1 THRAP3 TOP1 UBTF
GO:0001047	core promoter binding	CCAR1 DHX36 DHX9 FOXO3 GTF2B HNRNPU IFI16 MYBBP1A NFYA NONO NPM1 POU2AF1 POU2F1 PRMT5 PSPC1 RUVBL2 SAFB SFPQ SMARCA4 SMARCB1 SP1 STAT1 THRAP3 TOP1 UBTF
GO:0001067	regulatory region nucleic acid binding	ACTN4 ARID3B BASP1 BRD7 CCAR1 CDC5L CEBPZ CGGBP1 CNBP CTCF DHX36 DHX9 DPF2 ENO1 ETV6 FOXO3 FUBP3 GABPA GTF2B HMGA1 HMGB2 HNRNPC HNRNPK HNRNPL HNRNPU HSF1 IFI16 IKZF3 IRF4 LONP1 LRRFIP1 MYBBP1A NFKB1 NFKB2 NFYA NKRF NME1 NONO NPM1 PARP1 PHB POU2AF1 POU2F1 PRDX5 PRMT5 PSPC1 PURA PURB RELA RUNX2 RUVBL2 SAFB SFPQ SIN3A SMARCA2 SMARCA4 SMARCB1 SP1 SP3 STAT1 STAT3 SUZ12 TBL1XR1 TFAM THRAP3 TOP1 UBTF UHRF1 XRCC5 XRCC6 XRN2 YBX1
GO:0001069	regulatory region RNA binding	DHX9
GO:0001071	nucleic acid binding transcription factor activity	AHCTF1 ARID3B BUD31 CBFB CBL CDC5L CEBPZ CGGBP1 CHCHD3 CNBP CNOT7 CTBP1 CTCF DRAP1 ENO1 ETV6 FOXO3 FUBP1 FUBP3 GABPA GATAD2A GATAD2B GMEB1 GOLGB1 GTF2I HCFC1 HMGA1 HMGB2 HNRNPK HSF1 IFI16 IKZF3 IRF4 LRRFIP1 NFKB1 NFKB2 NFYA NKRF NUCKS1 PA2G4 PARP1 PCBP1 PFDN1 PHB PHF5A PHF6 POU2F1 PURA PURB RAD21 RELA RUNX2 SIN3A SP1 SP3 STAT1 STAT2 STAT3 SUB1 SUPT4H1 SUPT6H TARDBP TCF25 TFAM TRIM25 UHRF1 VAV1 YBX1 ZBTB38 ZNF207 ZRANB2
